scheduler,lamda,avgTurnAround,totalThroughPut,cpuUtil,waitTime,qt
fcfs,10,0.24135518409774512,9.612176673837379,0.5689559805214033,1.9680757327653065e-14,0
fcfs,11,0.24253448868716415,10.560813190223374,0.6095826268889023,1.8724342562559392e-14,0
fcfs,12,0.24643584962948156,11.68822308562784,0.6528256573105133,1.749582253162893e-14,0
fcfs,13,0.2399767635666966,12.504244646572205,0.6667475538259927,1.6625746135714993e-14,0
fcfs,14,0.23909869212110393,13.59166121978231,0.6922838723718036,1.5744132950482048e-14,0
fcfs,15,0.23999721739177368,14.4969552517479,0.712579993244099,1.4857187745700994e-14,0
fcfs,16,0.24186415132345154,15.468858621113432,0.7327176832518626,1.3751878455425803e-14,0
fcfs,17,0.2389604235179866,16.26553502521005,0.742720213007094,1.3202016693400487e-14,0
fcfs,18,0.2368954731636145,17.1949268183324,0.7545048558202425,1.2249571506878914e-14,0
fcfs,19,0.2358644578423553,18.099498041644726,0.7657546562331483,1.1659547524515978e-14,0
fcfs,20,0.2381790987958052,18.92053082769602,0.7780970705142557,1.0419687874563092e-14,0
fcfs,21,0.23514911152390455,19.76623045251326,0.7848542341725201,9.60002133939663e-15,0
fcfs,22,0.23292667509807616,21.00951675240774,0.7956546735717946,9.492572027904045e-15,0
fcfs,23,0.23601374170172804,21.820562781520994,0.8058234581079922,9.333265887576104e-15,0
fcfs,24,0.2338847535848765,22.90721853294328,0.8133509735738661,9.09484900585289e-15,0
fcfs,25,0.22998625969464637,23.681307059515,0.8163916445714314,8.847101089920484e-15,0
fcfs,26,0.23074445082666956,24.60887079818384,0.8238928258391112,8.696628546423988e-15,0
fcfs,27,0.23353310240128863,25.087551166861893,0.8293158161118035,8.581993405851197e-15,0
fcfs,28,0.23222282656441323,26.36581346788182,0.8366745295255087,8.136780810762134e-15,0
fcfs,29,0.23397439804480338,27.206330806894382,0.8429052443939575,8.042208945232415e-15,0
fcfs,30,0.2331767673295908,27.6586605675427,0.8449457844050464,7.877462701241788e-15,0
hrrn,10,0.24262261502392402,9.738791080004054,0.5767824474116363,1.947993217470481e-14,0
hrrn,11,0.2444891649439447,10.6743942485003,0.6168250196681649,1.836938470257954e-14,0
hrrn,12,0.24307504402519256,11.650062792881306,0.6468726455997003,1.7527991688290336e-14,0
hrrn,13,0.24210098932099824,12.668186863045355,0.6739464185121028,1.6394230999063498e-14,0
hrrn,14,0.24101157364255088,13.465408387857291,0.6918639066753096,1.586644149398353e-14,0
hrrn,15,0.23966906994623682,14.640920072859881,0.7150165500292895,1.464658414083303e-14,0
hrrn,16,0.23932899685274073,15.282299147791427,0.7265890002811635,1.3900770161681674e-14,0
hrrn,17,0.2433073367189621,16.56101917438577,0.7518251688302457,1.3015842396935096e-14,0
hrrn,18,0.23854392769705282,16.977949886121976,0.7530856180482591,1.2571743472633567e-14,0
hrrn,19,0.23460720961521125,17.996383547253245,0.7631499910811872,1.1262241703460795e-14,0
hrrn,20,0.23809292548009892,19.116808458508984,0.7802959210454485,1.033210489820996e-14,0
hrrn,21,0.2374071266846219,19.817921019301757,0.7874563399799324,9.762297643444579e-15,0
hrrn,22,0.236995274012304,21.188040343051533,0.8008549467161648,9.482889910057864e-15,0
hrrn,23,0.23824016267211864,21.765075527843532,0.807147690334101,9.387600093981042e-15,0
hrrn,24,0.2350836506602283,22.386408989281858,0.8099827013136494,9.102308403535764e-15,0
hrrn,25,0.23025377444365983,23.780022688414373,0.8173662749320003,8.87011115599523e-15,0
hrrn,26,0.23114643843927188,24.46868965831806,0.8231919309582324,8.714332380699296e-15,0
hrrn,27,0.23502651026598573,25.417779363085533,0.8326038202916035,8.47985771228535e-15,0
hrrn,28,0.23169649809725032,26.21057193226783,0.8353339633750796,8.32372840358503e-15,0
hrrn,29,0.23072522316777166,26.760038629568953,0.8380361136279343,8.238399784414596e-15,0
hrrn,30,0.22928683409356962,27.819109461054637,0.8432246933628691,7.833952475437555e-15,0
strf,10,2.4643449389667023,5.045019214778846,0.20867797605218674,247.15369368931408,0
strf,11,2.2837837569731816,5.437030560129977,0.25022389195379235,229.0611950777654,0
strf,12,2.077738421576078,12.0017151132267,0.6684171873873255,208.53396589546463,0
strf,13,1.890853262155214,6.556831884186602,0.3959364221719035,189.8373114690659,0
strf,14,1.789702917077974,6.925317632756354,0.4291686309955258,180.1363107041169,0
strf,15,1.6377220214587918,7.542627178024383,0.4621609690866174,164.4967198660634,0
strf,16,1.5471308957157173,16.139762168695533,0.7518634758638786,155.29940865823653,0
strf,17,1.4677511847787432,8.624104850610093,0.5426326686630019,147.13767007285472,0
strf,18,1.3772485726873553,18.154115003785467,0.7798189388772747,138.640328047917,0
strf,19,1.318624408157018,9.466231771441663,0.5668175729268934,133.00954010200866,0
strf,20,1.25568587382504,20.035910017891258,0.7989490423604564,126.6861966131409,0
strf,21,1.187520061431854,21.09743895929814,0.8085601108874181,119.8944004353288,0
strf,22,1.1494941708329047,21.781914400196854,0.8155571412924223,116.56822573384123,0
strf,23,1.070963692661133,23.345204019939768,0.8278075341945477,108.95794639842741,0
strf,24,1.0416309800397798,24.081608325807778,0.8327145287889425,106.09674646885111,0
strf,25,0.9911530719885039,24.920052617024503,0.8371921945760963,100.86659984885482,0
strf,26,0.9705641374126234,25.796890851293373,0.848570763551504,98.39281541147535,0
strf,27,0.9111139789694438,13.643077637431125,0.7097816884353425,93.10014300165581,0
strf,28,0.8990153175631894,27.74612653409841,0.8553431768716863,91.71027044844338,0
strf,29,0.8534723582794072,29.188487974380468,0.8662551258005788,87.39226322075278,0
strf,30,0.8373645730879222,29.756932161300558,0.8657562008701483,85.91756185048393,0
rr,10,0.47076937958921417,9.477805709599426,0.5517565348968461,23.538467886690054,0.01
rr,11,0.4711108931754314,10.50878593122843,0.5960251868391051,23.555543828595297,0.01
rr,12,0.46805499333858863,11.376135633598405,0.6243889833113557,23.402748057033534,0.01
rr,13,0.46484455318939805,12.212776918712892,0.6477039469461565,23.242225126297757,0.01
rr,14,0.4611485952995886,13.224841828126713,0.6720568216825134,23.05742882465849,0.01
rr,15,0.4618623661219786,13.967418432062628,0.6899717623492625,23.093117021425023,0.01
rr,16,0.4571473962481149,14.716968447073686,0.7027270723222426,22.857368438479966,0.01
rr,17,0.4644755300537613,15.646121696708455,0.7247923963177836,23.22377522215784,0.01
rr,18,0.4525019255469889,16.43293201992068,0.7310357829451766,22.62509627734068,0.01
rr,19,0.4499913126308713,17.601531552290147,0.7474918555936563,22.499564739064475,0.01
rr,20,0.4527514224335318,18.182738549698716,0.7570533923057229,22.637569095060865,0.01
rr,21,0.4393221008049038,19.22689048728707,0.763223896291467,21.96610394748942,0.01
rr,22,0.44757281787234593,20.056759688562273,0.7772049693880918,22.378639763759267,0.01
rr,23,0.44411861014098625,20.619749139332,0.7816025180862993,22.205929505978776,0.01
rr,24,0.4379153305988487,21.053703843640044,0.7830741469140227,21.895765381526957,0.01
rr,25,0.44494117025304797,21.992813163939594,0.7956161430102355,22.24705710022616,0.01
rr,26,0.4337330588085976,23.04381621052795,0.7998972515184015,21.686652241192448,0.01
rr,27,0.4258324853096106,23.53298193121332,0.8004212850964698,21.291623126117994,0.01
rr,28,0.42714636729250544,24.542224903006048,0.8092171543899989,21.35731715362513,0.01
rr,29,0.42572849024105536,25.265017063416657,0.8140579359541917,21.286422668436533,0.01
rr,30,0.4300815346646617,25.887620896322066,0.8203666190724697,21.504075995372997,0.01
rr,10,0.4769353489940443,9.449658699613817,0.5562424162038091,23.84629675224448,0.2
rr,11,0.46765678597563626,10.396308237697593,0.588645463158151,23.38244538210145,0.2
rr,12,0.46412794621144804,11.256538181132889,0.617193332875458,23.205973313895928,0.2
rr,13,0.4690850210251975,12.280971971817948,0.6528329697721653,23.453861347162515,0.2
rr,14,0.47300092081316003,12.907165413321945,0.6724105457909915,23.64965280034029,0.2
rr,15,0.46614292416535863,13.806774838615214,0.6892502319243343,23.30672525127188,0.2
rr,16,0.457874790500861,14.836118041412396,0.7055894687290325,22.89323126090508,0.2
rr,17,0.46112618664041616,15.692303058010783,0.7236146061803452,23.055861526846893,0.2
rr,18,0.45962765105894254,16.390119800124005,0.734519013261337,22.980943514867068,0.2
rr,19,0.4614633944633653,17.41937409171514,0.7511987958701237,23.072759815626622,0.2
rr,20,0.4507977504183155,18.455535966172253,0.7596118878341009,22.539440832047738,0.2
rr,21,0.4430179729604191,19.297715176807195,0.7660662761417139,22.15039249113379,0.2
rr,22,0.4447811287346504,19.725868895629983,0.7720506595276004,22.238587336681622,0.2
rr,23,0.44040153809110166,20.802084445825894,0.7816947429727638,22.019563812344156,0.2
rr,24,0.4321647617426223,21.630214443032326,0.786049961460627,21.607867437641083,0.2
rr,25,0.4317229889167802,22.290046526794697,0.7921717668695266,21.58568718864285,0.2
rr,26,0.4366104384706746,23.26045873952046,0.8030710794098127,21.830114506304447,0.2
rr,27,0.4253449933300367,23.924280709007384,0.8034644744568413,21.266822810153183,0.2
rr,28,0.43282928351958927,24.551708659122337,0.8117978228989079,21.641115603151118,0.2
rr,29,0.43121959746194577,25.242420304541184,0.8162655825164695,21.56048364318784,0.2
rr,30,0.42397170355081876,26.25415333077744,0.8203264810675677,21.198046652507713,0.2
